[03-Aug-2026 22:49:38 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:50:07 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:50:36 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:51:04 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:51:33 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:52:30 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:54:37 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:55:39 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 22:55:39 Asia/Tehran] Unhandled application error: Error
[03-Aug-2026 23:02:43 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:02:49 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:05:17 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:16:02 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:30:57 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:31:26 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:31:55 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:31:55 Asia/Tehran] Unhandled application error: Error
[03-Aug-2026 23:32:24 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:32:53 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:32:53 Asia/Tehran] Unhandled application error: Error
[03-Aug-2026 23:33:43 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:34:05 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:46:43 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:50:41 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:50:41 Asia/Tehran] Unhandled application error: Error
[03-Aug-2026 23:51:09 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:51:09 Asia/Tehran] Unhandled application error: Error
[03-Aug-2026 23:51:38 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:52:07 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:52:07 Asia/Tehran] Unhandled application error: Error
[03-Aug-2026 23:53:33 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:53:33 Asia/Tehran] Unhandled application error: Error
[03-Aug-2026 23:54:56 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:55:13 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:55:51 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:55:54 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[03-Aug-2026 23:55:55 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
